Název;Kód;Kategorie
Prostějovičky;Prostějovičky;katastr
Pěnčín na Moravě;Pěnčín na Moravě;katastr
Pavlovice u Kojetína;Pavlovice u Kojetína;katastr
Vážany u Uherského Hradiště;Vážany u Uherského Hradiště;katastr
Újezdec u Osvětiman;Újezdec u Osvětiman;katastr
Ostrožské Předměstí;Ostrožské Předměstí;katastr
Dolní Němčí;Dolní Němčí;katastr
Zlechov;Zlechov;katastr
Kvačice;Kvačice;katastr
Uherské Hradiště;Uherské Hradiště;katastr
Čelčice;Čelčice;katastr
Čechovice-Záhoří;Čechovice-Záhoří;katastr
Čechovice u Prostějova;Čechovice u Prostějova;katastr
Komárovice u Jihlavy;Komárovice u Jihlavy;katastr
Červená Řečice;Červená Řečice;katastr
Černovice u Tábora;Černovice u Tábora;katastr
Rosice u Chrasti;Rosice u Chrasti;katastr
Čistá v Krkonoších;Čistá v Krkonoších;katastr
Načeradec;Načeradec;katastr
Mrač;Mrač;katastr
Mlékovice u Neveklova;Mlékovice u Neveklova;katastr
Vysoká u Chomutova;Vysoká u Chomutova;katastr
Místo;Místo;katastr
Blahuňov;Blahuňov;katastr
Mikulovice u Vernéřova;Mikulovice u Vernéřova;katastr
Jezdkovice;Jezdkovice;katastr
Kluky u Mladé Boleslavi;Kluky u Mladé Boleslavi;katastr
Klášter Hradiště nad Jizerou;Klášter Hradiště nad Jizerou;katastr
Jizerní Vtelno;Jizerní Vtelno;katastr
Kozmice u Jiviny;Kozmice u Jiviny;katastr
Všesoky;Všesoky;katastr
Zdeslavice u Chlístovic;Zdeslavice u Chlístovic;katastr
Chroustkov;Chroustkov;katastr
Střelskohoštická Lhota;Střelskohoštická Lhota;katastr
Sedlice u Blatné;Sedlice u Blatné;katastr
Němčice u Sedlice;Němčice u Sedlice;katastr
Řepice;Řepice;katastr
Rojice;Rojice;katastr
Radošovice u Strakonic;Radošovice u Strakonic;katastr
Kapsova Lhota;Kapsova Lhota;katastr
Leskovice u Radomyšle;Leskovice u Radomyšle;katastr
Radčice u Vodňan;Radčice u Vodňan;katastr
Přešťovice;Přešťovice;katastr
Úlehle u Předslavic;Úlehle u Předslavic;katastr
Vokov u Třebeně;Vokov u Třebeně;katastr
Načetín u Kalku;Načetín u Kalku;katastr
Bystřice u Kadaně;Bystřice u Kadaně;katastr
Zásada u Kadaně;Zásada u Kadaně;katastr
Červený Hrádek u Jirkova;Červený Hrádek u Jirkova;katastr
Březenec;Březenec;katastr
Velké Stínky;Velké Stínky;katastr
Rychnov u Verneřic;Rychnov u Verneřic;katastr
Příbram pod Bukovou horou;Příbram pod Bukovou horou;katastr
Čáslav u Verneřic;Čáslav u Verneřic;katastr
Branišovice u Římova;Branišovice u Římova;katastr
Sedlec u Českých Budějovic;Sedlec u Českých Budějovic;katastr
Rychnov u Nových Hradů;Rychnov u Nových Hradů;katastr
Tisová u Nejdku;Tisová u Nejdku;katastr
Češnovice;Češnovice;katastr
Kobylníky;Kobylníky;katastr
Dolany u Čkyně;Dolany u Čkyně;katastr
Čkyně;Čkyně;katastr
Týřovice nad Berounkou;Týřovice nad Berounkou;katastr
Hostokryje;Hostokryje;katastr
Ryšín;Ryšín;katastr
Chlum u Rakovníka;Chlum u Rakovníka;katastr
Sázava u Petrova;Sázava u Petrova;katastr
Ořech;Ořech;katastr
Ohrobec;Ohrobec;katastr
Hostivice;Hostivice;katastr
Tursko;Tursko;katastr
Tuchoměřice;Tuchoměřice;katastr
Svatkovice;Svatkovice;katastr
Srbsko;Srbsko;katastr
Jablonná;Jablonná;katastr
Horní Hbity;Horní Hbity;katastr
Chraštice;Chraštice;katastr
Chrást u Tochovic;Chrást u Tochovic;katastr
Sejcká Lhota;Sejcká Lhota;katastr
Hutě pod Třemšínem;Hutě pod Třemšínem;katastr
Oříkov;Oříkov;katastr
Horčápsko;Horčápsko;katastr
Dublovice;Dublovice;katastr
Hřiměždice;Hřiměždice;katastr
Dlouhá Lhota u Dobříše;Dlouhá Lhota u Dobříše;katastr
Druhlice;Druhlice;katastr
Strážovice u Mirotic;Strážovice u Mirotic;katastr
Stráž u Mirotic;Stráž u Mirotic;katastr
Bořice u Mirotic;Bořice u Mirotic;katastr
Varvažov;Varvažov;katastr
Písecká Smoleč;Písecká Smoleč;katastr
Nemějice;Nemějice;katastr
Radimovice u Tábora;Radimovice u Tábora;katastr
Orlov u Jistebnice;Orlov u Jistebnice;katastr
Opařany;Opařany;katastr
Mostek u Ratibořských Hor;Mostek u Ratibořských Hor;katastr
Chyška;Chyška;katastr
Nová Ves u Protivína;Nová Ves u Protivína;katastr
Březí u Milevska;Březí u Milevska;katastr
Radim;Radim;katastr
Smrkový Týnec;Smrkový Týnec;katastr
Prosetín u Hlinska;Prosetín u Hlinska;katastr
Veselice nad Metují;Veselice nad Metují;katastr
Velká Jesenice;Velká Jesenice;katastr
Městská Kramolna;Městská Kramolna;katastr
Vížky;Vížky;katastr
Podhořany u Ronova;Podhořany u Ronova;katastr
Lhota u Skutče;Lhota u Skutče;katastr
Březka;Březka;katastr
Rytířova Lhota;Rytířova Lhota;katastr
Malechovice;Malechovice;katastr
Chlum u Hradce Králové;Chlum u Hradce Králové;katastr
Humburky;Humburky;katastr
Chvojenec;Chvojenec;katastr
Hrachoviště u Býště;Hrachoviště u Býště;katastr
Poříčí nad Sázavou;Poříčí nad Sázavou;katastr
Popovice u Benešova;Popovice u Benešova;katastr
Knížkovice;Knížkovice;katastr
Záluží u Hořovic;Záluží u Hořovic;katastr
Zahořany u Berouna;Zahořany u Berouna;katastr
Vysoký Újezd u Berouna;Vysoký Újezd u Berouna;katastr
Bzová u Hořovic;Bzová u Hořovic;katastr
Újezd u Hořovic;Újezd u Hořovic;katastr
Bykoš;Bykoš;katastr
Stradonice u Nižboru;Stradonice u Nižboru;katastr
Šedivec;Šedivec;katastr
Ostřetín;Ostřetín;katastr
Ostřešany;Ostřešany;katastr
Platěnice;Platěnice;katastr
Lipoltice;Lipoltice;katastr
Ledec;Ledec;katastr
Srnojedy;Srnojedy;katastr
Lány na Důlku;Lány na Důlku;katastr
Křičeň;Křičeň;katastr
Kolesa;Kolesa;katastr
Klenovka;Klenovka;katastr
Kasaličky;Kasaličky;katastr
Jezbořice;Jezbořice;katastr
Seník;Seník;katastr
Rtyně v Podkrkonoší;Rtyně v Podkrkonoší;katastr
Radeč;Radeč;katastr
Prosečné;Prosečné;katastr
Pilníkov I;Pilníkov I;katastr
Jeřičky;Jeřičky;katastr
Řídký;Řídký;katastr
Skalice u Žitenic;Skalice u Žitenic;katastr
Česká Dlouhá;Česká Dlouhá;katastr
Nová Ves u Jarošova;Nová Ves u Jarošova;katastr
Horky;Horky;katastr
Horní Nezly;Horní Nezly;katastr
Petrovice u Borovan;Petrovice u Borovan;katastr
Olešnice u Trhových Svinů;Olešnice u Trhových Svinů;katastr
Beranova Lhota;Beranova Lhota;katastr
Předboř u Choustníku;Předboř u Choustníku;katastr
Choustník;Choustník;katastr
Moraveč u Chotovin;Moraveč u Chotovin;katastr
Liderovice;Liderovice;katastr
Maršov u Heřmanče;Maršov u Heřmanče;katastr
Hostkovice u Dolních Němčic;Hostkovice u Dolních Němčic;katastr
Dolní Němčice;Dolní Němčice;katastr
Hluboká u Dačic;Hluboká u Dačic;katastr
Dešná u Dačic;Dešná u Dačic;katastr
Budíškovice;Budíškovice;katastr
Brandlín;Brandlín;katastr
Podeřiště;Podeřiště;katastr
Malovice u Netolic;Malovice u Netolic;katastr
Sedlovice;Sedlovice;katastr
Němčice u Netolic;Němčice u Netolic;katastr
Sviňovice;Sviňovice;katastr
Libínské Sedlo;Libínské Sedlo;katastr
Jiřičná;Jiřičná;katastr
Lhota nad Rohanovem;Lhota nad Rohanovem;katastr
Bučina u Kvildy;Bučina u Kvildy;katastr
Křížovice u Ktiše;Křížovice u Ktiše;katastr
Třešňový Újezdec;Třešňový Újezdec;katastr
Houžná;Houžná;katastr
Snědovice;Snědovice;katastr
Staré;Staré;katastr
Křešov;Křešov;katastr
Kolaje;Kolaje;katastr
Roudníček;Roudníček;katastr
Podlusky;Podlusky;katastr
Oleško u Rohatců;Oleško u Rohatců;katastr
Janské Lázně;Janské Lázně;katastr
Mečíř;Mečíř;katastr
Hodkovice u Trutnova;Hodkovice u Trutnova;katastr
Záhuby;Záhuby;katastr
Bačalky;Bačalky;katastr
Rakov u Markvartic;Rakov u Markvartic;katastr
Nová Sídla;Nová Sídla;katastr
Mikuleč;Mikuleč;katastr
Pohledy;Pohledy;katastr
Ústí nad Labem;Ústí nad Labem;katastr
Mírkov;Mírkov;katastr
Český Bukov;Český Bukov;katastr
Nová Ves;Nová Ves;katastr
Pohoří u Malečova;Pohoří u Malečova;katastr
Březí u Malečova;Březí u Malečova;katastr
Lysá;Lysá;katastr
Vitín u Malého Března;Vitín u Malého Března;katastr
Tisá;Tisá;katastr
Krhov u Bojkovic;Krhov u Bojkovic;katastr
Hory u Oloví;Hory u Oloví;katastr
Komňa;Komňa;katastr
Nivnice;Nivnice;katastr
Hradčovice;Hradčovice;katastr
Straškov;Straškov;katastr
Dobrčice u Skršína;Dobrčice u Skršína;katastr
Soběnice;Soběnice;katastr
Čížkovice;Čížkovice;katastr
České Kopisty;České Kopisty;katastr
Horní Poříčí u Letovic;Horní Poříčí u Letovic;katastr
Petrovičky u Mladkova;Petrovičky u Mladkova;katastr
Licomělice;Licomělice;katastr
Dolní Nakvasovice;Dolní Nakvasovice;katastr
Hodonín u Zdíkovce;Hodonín u Zdíkovce;katastr
Nevid;Nevid;katastr
Litohlavy;Litohlavy;katastr
Lhotka u Radnic;Lhotka u Radnic;katastr
Chockov;Chockov;katastr
Kladruby u Radnic;Kladruby u Radnic;katastr
Kařízek;Kařízek;katastr
Kamenec u Radnic;Kamenec u Radnic;katastr
Chlum nad Berounkou;Chlum nad Berounkou;katastr
Hřešihlavy;Hřešihlavy;katastr
Hrádek u Rokycan;Hrádek u Rokycan;katastr
Holoubkov;Holoubkov;katastr
Chleny;Chleny;katastr
Stupno;Stupno;katastr
Břasy;Břasy;katastr
Tatiná;Tatiná;katastr
Zruč;Zruč;katastr
Hlína;Hlína;katastr
Zbůch;Zbůch;katastr
Liboměřice;Liboměřice;katastr
Lhůty;Lhůty;katastr
Zájezdec;Zájezdec;katastr
Ctětín;Ctětín;katastr
Vyžice;Vyžice;katastr
Bylany;Bylany;katastr
Bousov;Bousov;katastr
Bělá;Bělá;katastr
Brtev;Brtev;katastr
Holín;Holín;katastr
Keteň;Keteň;katastr
Dolní Lochov;Dolní Lochov;katastr
Osenice;Osenice;katastr
Jičín;Jičín;katastr
Sylvárův Újezd;Sylvárův Újezd;katastr
Chyjice;Chyjice;katastr
Dolany u Chyjic;Dolany u Chyjic;katastr
Chomutičky;Chomutičky;katastr
Chlum u Hořic;Chlum u Hořic;katastr
Libonice;Libonice;katastr
Ohaveč;Ohaveč;katastr
Horní Lochov;Horní Lochov;katastr
Chvalina;Chvalina;katastr
Ronov nad Doubravou;Ronov nad Doubravou;katastr
Prachov;Prachov;katastr
Podlažice;Podlažice;katastr
Javorka;Javorka;katastr
Valtířov u Nového Kramolína;Valtířov u Nového Kramolína;katastr
Sovinec;Sovinec;katastr
Hradenín;Hradenín;katastr
Černá Hora u Bělé nad Radbuzou;Černá Hora u Bělé nad Radbuzou;katastr
Krasíkov;Krasíkov;katastr
Bor u Tachova;Bor u Tachova;katastr
Arnoltice;Arnoltice;katastr
Staré Hamry 2;Staré Hamry 2;katastr
Slatina u Horažďovic;Slatina u Horažďovic;katastr
Křižínkov;Křižínkov;katastr
Bystřice u Bělé nad Radbuzou;Bystřice u Bělé nad Radbuzou;katastr
Slověnice;Slověnice;katastr
Úherce u Panenského Týnce;Úherce u Panenského Týnce;katastr
Zborovy;Zborovy;katastr
Vižina;Vižina;katastr
Léno;Léno;katastr
Staré Sedlo u Tachova;Staré Sedlo u Tachova;katastr
Kunratice u Liberce;Kunratice u Liberce;katastr
Všechlapy u Zabrušan;Všechlapy u Zabrušan;katastr
Teplice-Trnovany;Teplice-Trnovany;katastr
Teplice-Řetenice;Teplice-Řetenice;katastr
Soběchleby u Krupky;Soběchleby u Krupky;katastr
Želénky;Želénky;katastr
Sobědruhy;Sobědruhy;katastr
Rtyně nad Bílinou;Rtyně nad Bílinou;katastr
Radovesice u Bíliny;Radovesice u Bíliny;katastr
Teplice;Teplice;katastr
Dřínek;Dřínek;katastr
Proboštov u Teplic;Proboštov u Teplic;katastr
Osek u Duchcova;Osek u Duchcova;katastr
Dolní Věžnice;Dolní Věžnice;katastr
Suchá u Jihlavy;Suchá u Jihlavy;katastr
Střížov;Střížov;katastr
Sokolíčko;Sokolíčko;katastr
Spělov;Spělov;katastr
Salavice;Salavice;katastr
Střítež u Jihlavy;Střítež u Jihlavy;katastr
Rácov;Rácov;katastr
Studénky;Studénky;katastr
Puklice;Puklice;katastr
Příseka;Příseka;katastr
Plandry;Plandry;katastr
Žeraviny;Žeraviny;katastr
Vnorovy;Vnorovy;katastr
Mohelnice;Mohelnice;katastr
Mladoňov u Oskavy;Mladoňov u Oskavy;katastr
Pístov u Jihlavy;Pístov u Jihlavy;katastr
Mírov;Mírov;katastr
Maršíkov;Maršíkov;katastr
Horní Temenice;Horní Temenice;katastr
Chlumek;Chlumek;katastr
Svařenov;Svařenov;katastr
Oslava;Oslava;katastr
Dolní Bory;Dolní Bory;katastr
Červené Pečky;Červené Pečky;katastr
Dražovice u Sušice;Dražovice u Sušice;katastr
Padochov;Padochov;katastr
Cholupice;Cholupice;katastr
Velké Dvorce;Velké Dvorce;katastr
Březovík 2;Březovík 2;katastr
Malonice nad Zubřinou;Malonice nad Zubřinou;katastr
Vlkov u Spáleného Poříčí;Vlkov u Spáleného Poříčí;katastr
Černá Voda;Černá Voda;katastr
Hodonín;Hodonín;katastr
Dubňany;Dubňany;katastr
Čejkovice;Čejkovice;katastr
Lipník nad Bečvou;Lipník nad Bečvou;katastr
Lhota u Lipníka nad Bečvou;Lhota u Lipníka nad Bečvou;katastr
Křenovice u Kojetína;Křenovice u Kojetína;katastr
Kovalovice u Kojetína;Kovalovice u Kojetína;katastr
Kojetín;Kojetín;katastr
Jezernice;Jezernice;katastr
Horní Nětčice;Horní Nětčice;katastr
Turovice;Turovice;katastr
Dolní Újezd u Lipníka nad Bečvou;Dolní Újezd u Lipníka nad Bečvou;katastr
Lhota u Choryně;Lhota u Choryně;katastr
Lázy u Valašského Meziříčí;Lázy u Valašského Meziříčí;katastr
Slavětín u Litovle;Slavětín u Litovle;katastr
Slatinice na Hané;Slatinice na Hané;katastr
Senice na Hané;Senice na Hané;katastr
Řimice;Řimice;katastr
Stará Libavá;Stará Libavá;katastr
Medlov u Uničova;Medlov u Uničova;katastr
Petříkov u Velkých Popovic;Petříkov u Velkých Popovic;katastr
Odolena Voda;Odolena Voda;katastr
Nový Vestec;Nový Vestec;katastr
Bílá Lhota;Bílá Lhota;katastr
Červenka;Červenka;katastr
Bělkovice;Bělkovice;katastr
Babice u Šternberka;Babice u Šternberka;katastr
Kostelec u Křížků;Kostelec u Křížků;katastr
Přívoz;Přívoz;katastr
Lichnov u Bruntálu;Lichnov u Bruntálu;katastr
Arnultovice u Jindřichova;Arnultovice u Jindřichova;katastr
Petrovice ve Slezsku;Petrovice ve Slezsku;katastr
Janov u Krnova;Janov u Krnova;katastr
Doubravice nad Moravou;Doubravice nad Moravou;katastr
Dlouhomilov;Dlouhomilov;katastr
Krásné u Šumperka;Krásné u Šumperka;katastr
Benkov;Benkov;katastr
Bukovice u Velkých Losin;Bukovice u Velkých Losin;katastr
Brníčko u Zábřeha;Brníčko u Zábřeha;katastr
Vlachov;Vlachov;katastr
Bratrušov;Bratrušov;katastr
Bzová u Uherského Brodu;Bzová u Uherského Brodu;katastr
Březová u Uherského Brodu;Březová u Uherského Brodu;katastr
Bojkovice;Bojkovice;katastr
Valašská Senice;Valašská Senice;katastr
Zaloňov;Zaloňov;katastr
Velichovky;Velichovky;katastr
Nikolčice;Nikolčice;katastr
Ponava;Ponava;katastr
Jeneč;Jeneč;katastr
Smilovice u Třince;Smilovice u Třince;katastr
Veliny;Veliny;katastr
Valy nad Labem;Valy nad Labem;katastr
Roveň u Rychnova nad Kněžnou;Roveň u Rychnova nad Kněžnou;katastr
Rokytnice v Orlických horách;Rokytnice v Orlických horách;katastr
Prostřední Rokytnice;Prostřední Rokytnice;katastr
Dolní Rokytnice v Orlických horách;Dolní Rokytnice v Orlických horách;katastr
Rašovice u Týniště nad Orlicí;Rašovice u Týniště nad Orlicí;katastr
Přepychy u Opočna;Přepychy u Opočna;katastr
Pohoří u Dobrušky;Pohoří u Dobrušky;katastr
Lhota u Dobrušky;Lhota u Dobrušky;katastr
Peklo nad Zdobnicí;Peklo nad Zdobnicí;katastr
Pěčín u Rychnova nad Kněžnou;Pěčín u Rychnova nad Kněžnou;katastr
Vejvanov;Vejvanov;katastr
Želenice u Mostu;Želenice u Mostu;katastr
Záluží u Litvínova;Záluží u Litvínova;katastr
Dobětice;Dobětice;katastr
Podlešín u Stebna;Podlešín u Stebna;katastr
Skorotice u Ústí nad Labem;Skorotice u Ústí nad Labem;katastr
Sebuzín;Sebuzín;katastr
Střížovice u Ústí nad Labem;Střížovice u Ústí nad Labem;katastr
Nové Veselí;Nové Veselí;katastr
Maršovice u Nového Města na Moravě;Maršovice u Nového Města na Moravě;katastr
Nová Ves u Nového Města na Moravě;Nová Ves u Nového Města na Moravě;katastr
Křídla;Křídla;katastr
Buková u Nížkova;Buková u Nížkova;katastr
Lhotka u Žďáru nad Sázavou;Lhotka u Žďáru nad Sázavou;katastr
Kyjov u Černé;Kyjov u Černé;katastr
Kralice nad Oslavou;Kralice nad Oslavou;katastr
Horní Lhotice;Horní Lhotice;katastr
Kožichovice;Kožichovice;katastr
Janov v Orlických horách;Janov v Orlických horách;katastr
Kouty u Třebíče;Kouty u Třebíče;katastr
Koněšín;Koněšín;katastr
Kladeruby nad Oslavou;Kladeruby nad Oslavou;katastr
Klementice;Klementice;katastr
Kamenná nad Oslavou;Kamenná nad Oslavou;katastr
Třeboutice;Třeboutice;katastr
Opatovice nad Labem;Opatovice nad Labem;katastr
Ohrazenice;Ohrazenice;katastr
Nemošice;Nemošice;katastr
Moravany nad Loučnou;Moravany nad Loučnou;katastr
Moravanský;Moravanský;katastr
Mikulovice u Pardubic;Mikulovice u Pardubic;katastr
Mělice;Mělice;katastr
Lohenice u Přelouče;Lohenice u Přelouče;katastr
Litětiny;Litětiny;katastr
Poběžovice u Přelouče;Poběžovice u Přelouče;katastr
Sovoluská Lhota;Sovoluská Lhota;katastr
Libišany;Libišany;katastr
Velké Janovice;Velké Janovice;katastr
Vrbka u Sulimova;Vrbka u Sulimova;katastr
Karolín u Sulimova;Karolín u Sulimova;katastr
Strabenice;Strabenice;katastr
Skržice;Skržice;katastr
Skaštice;Skaštice;katastr
Novosedly na Moravě;Novosedly na Moravě;katastr
